"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"10V3V4_FWD",60163,43074,42226,42689,39352,33746,0.439090470887422
"11V3V4_FWD",79708,57584,53485,55781,44591,40238,0.495182415817735
"12V3V4_FWD",89974,64291,63136,63722,56722,50859,0.434736701713828
"13V3V4_FWD",42655,28714,28672,28686,28439,26249,0.384620794748564
"14V3V4_FWD",89260,60610,60391,60490,59648,55465,0.37861304055568
"15V3V4_FWD",99110,69655,69433,69546,68655,63277,0.361547775199274
"16V3V4_FWD",52191,35013,34629,34793,33276,30332,0.418827000823897
"17V3V4_FWD",80854,53283,52396,52843,50521,46489,0.425025354342395
"18V3V4_FWD",89618,61150,61104,61110,61020,56852,0.365618514137785
"19V3V4_FWD",108291,70161,69902,70006,68839,63914,0.409793981032588
"1V3V4_FWD",66774,45209,45142,45180,44624,41143,0.383847006319825
"20V3V4_FWD",90966,61966,61519,61711,60279,55845,0.386089308093134
"21V3V4_FWD",69205,47045,46974,46993,46443,42972,0.379062206487971
"22V3V4_FWD",100533,66831,66483,66634,65425,60458,0.398625327007052
"23V3V4_FWD",95676,65621,65471,65536,65317,60890,0.363581253396881
"24V3V4_FWD",103303,70246,70208,70224,69596,64912,0.371634899276884
"27V3V4_FWD",69301,49964,45296,47904,35876,28505,0.588678374049437
"29V3V4_FWD",75750,54346,51517,53186,44321,39042,0.484594059405941
"2V3V4_FWD",106082,72583,72560,72561,72470,67407,0.364576459719839
"30V3V4_FWD",75239,52646,50682,51691,43763,40281,0.464626058294236
"31V3V4_FWD",99532,71489,64704,68470,50638,41349,0.584565767793273
"32V3V4_FWD",39521,26559,25599,25986,23613,20464,0.482199337061309
"34V3V4_FWD",85255,61515,59064,60516,52504,46516,0.454389771860888
"35V3V4_FWD",4891,38,28,37,28,28,0.994275199345737
"36V3V4_FWD",78584,56496,50140,53683,37533,29817,0.620571617632088
"38V3V4_FWD",106951,77887,76811,77560,70588,62566,0.415003132275528
"3V3V4_FWD",95880,62934,62904,62910,62220,57565,0.399614100959533
"4V3V4_FWD",50000,34002,33973,33984,33934,31364,0.37272
"5V3V4_FWD",98320,67130,67112,67113,66469,61630,0.373169243287225
"6V3V4_FWD",125545,88797,87910,88334,86298,77120,0.385718268349994
"7V3V4_FWD",100158,69513,68520,69011,66267,58433,0.416591784979732
"8V3V4_FWD",91896,64053,63050,63544,60853,53693,0.415719944284844
"9V3V4_FWD",83880,59712,58872,59370,56716,49066,0.415045302813543
